venue_type,method,confidence,n_treated,n_holdout,estimated_lift,ci_low,ci_high,p_value,true_lift_ground_truth,recovery_error
bar,RCT_geo_holdout,high,17,19,17.87816453290271,13.108619327272264,22.647709738533152,8.733914174399713e-09,16.4178486436397,1.4603158892630077
gym,RCT_geo_holdout,high,15,17,10.323688165635986,4.9991378361388366,15.648238495133135,0.0004796956695575145,10.307026913899277,0.01666125173670885
restaurant,RCT_geo_holdout,high,18,17,16.78712458667598,10.906623789157493,22.667625384194466,1.9367085083623878e-06,13.456016801835656,3.3311077848403237
waiting_room,RCT_geo_holdout,high,17,16,7.632164927352459,4.959035032206274,10.305294822498645,2.0329739416818747e-06,8.076764081830268,-0.4445991544778085
