window,week_start,week_end,estimated_lift,se,ci_low,ci_high,p_value,n_treated,n_holdout
during_campaign,60,69,13.261787227649313,1.2579895017660097,10.771650823238508,15.751923632060118,6.691232564856873e-19,67,69
weeks_0_10_after,70,79,2.5203779421391905,1.1572163945556615,0.2315028183032406,4.80925306597514,0.0311674124951235,67,69
weeks_10_20_after,80,89,-1.4313492397214391,1.2012045165481406,-3.807159406980155,0.9444609275372766,0.23552989601130594,67,69
full_post_campaign,70,103,0.052117910783901156,0.7496091462829256,-1.4305018790767146,1.5347377006445169,0.9446741446373423,67,69
