venue_type,fitted_decay,fitted_half,fitted_shape,beta_naive,beta_calibrated,naive_implied_lift_at_rct_exposure,rct_anchor_estimate,calibration_adjustment_pct,true_max_lift_ground_truth,naive_beta_vs_true_max_lift_error,calibrated_beta_vs_true_max_lift_error
bar,0.1,3.0,3.0,16.246892051056957,19.57178136495832,14.840989883381726,17.87816453290271,20.464771375674022,22.0,-5.753107948943043,-2.428218635041681
gym,0.7,8.0,2.5,4.931878441049854,13.054646261079396,3.9001573905543583,10.323688165635986,164.69927061504058,14.0,-9.068121558950146,-0.9453537389206037
restaurant,0.7,6.0,3.0,7.974321431884174,18.693631048664304,7.161044690715933,16.78712458667598,134.42284347757186,18.0,-10.025678568115826,0.6936310486643045
waiting_room,0.7,5.0,3.0,4.094016946509082,8.188556274299227,3.8158390202682293,7.632164927352459,100.0127596267404,9.0,-4.905983053490918,-0.8114437257007729
